cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
10,0.01,0.75,43.3893,10,27191.6,-0.126459,54.6552,11.4194,117.742,0.287055,-176.659,498.202,-1.19858,-1.12768,-1.0355,0.540932,1.35866,-15.4841,14700.4,108.516,13253.3,21968.4,-1.10108,-1.03018,-0.840505,0.638432,1.45616,0.0418025,14722.1,109.723,13275,0.490928,0.987125,0.0149973,29988.4,-0.000967403,1.35822,11.7057,11.3527,118.056,88.3636,1.17527,11.1767,12.6503,117.066,139.09,0.989459,-50.726 
11,0.01,0.75,43.1693,11,14623.5,-0.300981,30.83,-11.4102,118.105,-0.10613,211.761,78.5009,1.31942,1.60672,2.29941,-3.46967,-4.85185,-146.9,7658.31,47.959,7861.74,12183.1,2.24441,2.53172,4.1494,-2.54468,-3.92686,-0.690885,7864.35,59.4058,8067.78,0.458769,0.986953,0.0133825,17142.3,-0.00110284,0.708294,11.7728,11.4112,118.475,88.3456,0.69236,11.1711,12.8477,117.393,139.443,1.0818,-51.0973 
12,0.01,0.75,43.1593,12,19596.5,-0.00741263,40.3949,11.1227,117.907,-0.0135055,-247.403,500,-3.29846,-0.0521242,6.96693,3.5148,-2.9069,-140.397,9997.64,71.3969,10398.5,14734.9,-2.41441,0.831918,8.73501,4.39884,-2.02286,0.0832751,10194.6,82.3369,10595.4,0.455535,0.986063,0.0141129,22379.3,-0.00103522,0.949838,11.5203,11.2634,118.408,88.0981,0.927588,11.1276,12.7186,117.197,138.941,1.21074,-50.8428 
13,0.01,0.75,43.1393,13,22432.6,-0.27628,47.261,10.9731,117.942,-0.89369,-44.7779,71.6272,1.70969,0.0626016,1.52007,-2.40658,-2.40632,-70.8078,11947.1,78.995,11207.6,18184.9,2.15555,0.508459,2.41179,-1.96073,-1.96047,-1.08885,12046.5,84.5125,11306.9,0.480909,0.987872,0.0135817,25049.4,-0.000825845,1.17821,11.193,11.0483,118.194,88.2958,1.06915,10.7467,12.2436,117.375,139.008,0.819143,-50.7124 
14,0.01,0.75,42.9893,14,23224.8,0.0108265,47.5911,11.1043,117.612,0.00885685,-30.5534,2.20774e-11,1.9483,-1.87466,6.35645,0.405194,-1.46504,-80.0703,11724.1,89.0278,12253.2,17212.1,2.45248,-1.37048,7.36481,0.909375,-0.960861,0.122748,11836.4,95.267,12365.5,0.454257,0.986111,0.0139935,26056.7,-0.000854567,1.13381,11.3832,11.0624,118.099,88.4585,1.12493,11.0259,12.3925,116.914,139.154,1.18457,-50.6954 
15,0.01,0.75,43.1493,15,18092.7,-0.0753398,38.2121,11.0259,117.976,-0.48693,418.566,3.98418e-05,1.70277,-0.620401,2.13841,-2.02305,-1.78976,-102.349,9832.03,58.3591,9142.7,20350.3,2.34724,0.0240664,3.42734,-1.37858,-1.14529,-0.0465895,9975.58,66.3344,9286.25,0.482967,0.988497,0.0129878,20654.8,-0.00096377,0.947816,11.3689,11.1849,118.445,88.0727,0.84693,10.8667,12.4501,117.154,138.775,1.29073,-50.7021 
16,0.01,0.75,43.1793,16,11775.8,-0.285009,25.928,11.1118,118.101,-0.0141321,64.2806,458.814,-2.10777,-0.417395,0.904003,-4.78318,-2.28733,-99.3319,6260.56,30.1531,6528.63,9408.44,-1.48231,0.208072,2.15494,-4.15771,-1.66186,1.43632,6399.88,37.8933,6667.95,0.454924,0.989745,0.01036,14068,-0.00109547,0.604563,11.467,11.2329,118.327,88.3588,0.588797,10.9871,12.6213,117.467,139.598,0.860233,-51.2392 
17,0.01,0.75,43.2893,17,22982.9,0.0752166,47.143,11.1431,117.65,-0.0635101,10.3032,1.23801e-11,1.78828,0.390965,4.49548,-5.25065,-3.18512,-13.0936,12525.4,85.5951,11238.9,17122.2,1.87072,0.473412,4.66037,-5.1682,-3.10268,4.68009,12543.8,86.6154,11257.3,0.492113,0.98806,0.0139754,25489.6,-0.00100169,1.21112,11.5819,11.0238,118.132,88.5399,1.04389,10.9132,12.371,116.912,139.367,1.21948,-50.8269 
18,0.01,0.75,43.1993,18,16824.3,0.010575,35.631,-10.8922,118.094,-0.0159438,-1.68921,9.79894e-13,-1.23686,-2.02343,6.64812,-1.55474,-3.28708,-61.8915,8720.35,46.6038,8942.88,12634.8,-0.847144,-1.63372,7.42755,-1.16503,-2.89737,-7.39946,8807.16,51.4265,9029.69,0.458914,0.989885,0.0103824,19191.3,-0.000963114,0.878037,11.1198,10.9856,118.421,87.7031,0.819171,11.0033,12.4585,117.447,138.564,0.973547,-50.8607 
19,0.01,0.75,43.2393,19,19932.7,-0.189308,43.3811,-10.8656,118.005,0.256532,93.7068,500,-3.51002,1.89146,5.94906,-0.561838,-0.242164,-89.9056,10961.7,47.1249,9985.85,16126.9,-2.94391,2.45757,7.08128,0.00427361,0.323947,-0.0228392,11087.8,54.1306,10112,0.488094,0.991529,0.00976473,22716.6,-0.0013602,1.11396,11.1964,10.8765,118.346,88.4333,0.969812,10.7561,12.2233,117.288,139.507,1.05859,-51.0739 
20,0.01,0.75,43.2093,20,18525.3,-0.325758,39.6581,11.0771,118.049,-2.14986,783.388,215.821,-2.3508,-3.79898,3.11552,-2.50741,-1.74277,-101.343,9919.02,45.3393,9467.8,69126.1,-1.71268,-3.16085,4.39178,-1.86928,-1.10464,2.27089,10061.2,53.2362,9609.95,0.476548,0.990825,0.0101016,21112.6,-0.00112412,0.991032,11.3422,10.9591,118.39,88.0334,0.888483,10.8807,12.356,117.342,139.01,1.04852,-50.9769 
21,0.01,0.75,43.3393,21,20382,-0.0827844,43.0031,10.9478,118.182,-0.0467076,140.475,500,-0.0224827,-0.000256011,5.75284,-1.77782,-1.61782,-1.45609,10455.1,75.5548,10684.4,15539.4,-0.0133141,0.00891259,5.77118,-1.76865,-1.60865,-1.41525,10457.1,75.6683,10686.4,0.459724,0.987495,0.0128756,22746.5,-0.000884814,1.04428,11.1228,11.0441,118.584,88.3244,0.982292,10.983,12.4008,117.433,139.078,1.15151,-50.7534 
22,0.01,0.75,43.1893,22,14193.8,-0.30812,31.1688,11.0127,117.958,-0.00948371,63.5323,350.448,-2.76319,1.87045,1.16635,1.27429,-3.36529,-79.6793,6909.33,39.0943,8214.04,11193.6,-2.26147,2.37217,2.16978,1.77601,-2.86357,-0.818893,7021.09,45.303,8325.8,0.423065,0.988834,0.00992394,16595.8,-0.00116268,0.663429,11.317,11.5416,118.273,88.275,0.749549,10.9349,12.6196,117.402,139.312,0.870641,-51.0366 
23,0.01,0.75,43.2193,23,24630.7,-0.307396,50.5695,11.2692,118.012,0.571744,-1002.27,57.6665,0.186391,1.60077,5.82606,-1.47899,-4.10466,-82.5343,12843.8,104.279,12563.7,37205.8,0.706088,2.12046,6.86545,-0.959297,-3.58496,-0.333681,12959.5,110.71,12679.4,0.470556,0.98527,0.0158297,27540.9,-0.000956586,1.19828,11.521,11.3918,118.481,88.2315,1.1297,11.0351,12.6632,117.296,138.964,1.18504,-50.7326 
24,0.01,0.75,43.0393,24,22608,-0.164789,47.6439,10.9014,118.228,0.178975,-16.9471,3.29781e-09,-1.51164,0.924824,5.11951,1.9306,1.58378,-70.4405,12036.1,77.0458,11339.7,17006.4,-1.06809,1.36837,6.0066,2.37415,2.02732,0.439073,12134.9,82.5347,11438.5,0.479848,0.988238,0.0131174,25289.2,-0.000916306,1.21369,11.141,10.9211,118.595,87.4215,1.07125,10.7643,12.3241,117.616,138.224,0.979,-50.8023 
25,0.01,0.75,43.0893,25,18720,-0.277022,40.2813,10.8746,118.282,-0.222343,642.766,15.3472,1.55395,1.36254,3.88524,-1.1074,-1.71635,-135.163,9692.4,47.3872,9807.98,18912,2.40503,2.21363,5.58742,-0.256319,-0.865266,0.38495,9881.97,57.9194,9997.56,0.462224,0.989847,0.0105593,21379.2,-0.000913396,1.00585,11.03,10.741,118.696,88.2073,0.944905,10.7592,12.0917,117.553,139.108,1.14302,-50.9008 
26,0.01,0.75,43.2293,26,17840.6,-0.0149908,38.8075,10.6979,118.148,0.0519187,-32.2402,482.031,-0.088827,1.63492,6.90707,-1.26247,-2.73464,-99.1641,9638.8,33.7774,9039.22,13569.2,0.535583,2.25933,8.15589,-0.638062,-2.11023,0.00568401,9777.88,41.5045,9178.3,0.480889,0.992626,0.00826123,20332.9,-0.0011162,1.01065,10.9459,10.7592,118.571,87.3114,0.859712,10.7825,12.4179,117.496,138.162,1.07553,-50.8504 
27,0.01,0.75,43.3893,27,22146,-0.366885,46.9125,11.141,117.979,-0.0394229,-88.1097,132.43,-1.88936,0.97379,3.2766,-4.52543,-0.916306,-39.952,12018.8,60.1868,11087.7,17127.1,-1.63779,1.22536,3.77973,-4.27386,-0.664739,3.40547,12074.8,63.3,11143.8,0.485125,0.990909,0.0103554,24890.2,-0.00121924,1.1903,11.2953,11.0242,118.343,88.7717,1.04437,11.0225,12.1713,117.276,139.569,1.06733,-50.7976 
28,0.01,0.75,43.1693,28,14347.9,-0.327344,31.014,11.2459,117.817,-0.233384,259.762,375.369,-6.30015,-1.71058,3.75922,-1.2824,2.71266,-102.331,7167.89,38.2478,8169.45,13327.4,-5.6558,-1.06623,5.04792,-0.638053,3.35701,-3.83128,7311.42,46.2216,8312.97,0.433363,0.989058,0.0101386,16871.3,-0.00128721,0.6784,11.5654,11.4748,118.216,87.6639,0.728614,11.2013,12.7028,117.227,138.353,0.989297,-50.6891 
29,0.01,0.75,43.1593,29,14970.3,-0.305969,32.791,10.9748,118.101,0.122757,21.4903,181.896,3.12874,0.100395,1.30732,1.13725,-2.34766,-111.18,7599.63,37.0728,8325.65,11801,3.82881,0.800463,2.70745,1.83732,-1.64759,0.640275,7755.57,45.7361,8481.59,0.442938,0.989785,0.00983566,17509.4,-0.00110102,0.759844,11.1795,11.0856,118.442,88.3997,0.778461,10.8884,12.3381,117.394,139.261,1.04803,-50.861 
30,0.01,0.75,43.1393,30,23710.4,0.00193329,48.3111,11.1535,117.992,-0.0519568,-22.7634,5.53562e-13,-0.608353,-0.933818,-0.983835,-2.75785,-0.64296,-96.8062,12387.9,73.3535,11980.4,17579.5,0.00121055,-0.324255,0.235291,-2.14828,-0.0333964,1.10368,12523.7,80.8968,12116.2,0.473355,0.988822,0.0121498,26457.4,-0.000836554,1.21228,11.3658,11.0081,118.381,87.7914,1.08956,11.069,12.4798,117.376,138.494,1.00527,-50.7023 
31,0.01,0.75,42.9893,31,25336.4,-0.265505,51.9893,11.2486,118.133,0.353979,-4.61887,487.637,-1.22725,2.4833,-1.92847,-1.00336,-1.49111,-27.5272,13221.2,83.3689,12951.1,19090.6,-1.05392,2.65663,-1.58181,-0.83003,-1.31778,0.256283,13259.8,85.5138,12989.7,0.470239,0.98884,0.0119816,28198,-0.00108147,1.27613,11.3864,11.1824,118.598,88.1724,1.19312,11.0687,12.3448,117.47,139.066,1.12852,-50.8936 
32,0.01,0.75,43.1493,32,21250.8,0.0271448,43.9848,11.2035,117.945,0.00195915,-5.16889,0.00606491,-0.929652,0.306077,3.95942,1.4833,0.395546,-84.6424,10722,75.0356,11472.9,16042.1,-0.396681,0.839048,5.02536,2.01627,0.928517,0.402633,10840.8,81.6311,11591.6,0.448501,0.986994,0.0128064,24171.1,-0.00126154,1.02161,11.4865,11.3027,118.386,88.5125,1.01625,11.2327,12.7296,117.169,139.458,1.21746,-50.9456 
33,0.01,0.75,43.1793,33,11930.7,-0.256654,25.7687,11.1863,118.156,0.0760521,-39.3024,130.804,-3.02295,0.763299,4.78385,-1.29951,-1.44402,-131.132,6104.11,25.3355,6655.35,9481.02,-2.19725,1.589,6.43525,-0.473806,-0.618315,-0.359114,6288.03,35.5536,6839.28,0.444284,0.990202,0.00948526,14153.2,-0.0010976,0.585146,11.6619,11.2832,118.472,87.5643,0.58752,11.1203,12.9266,117.52,138.325,0.95135,-50.7605 
